R&D,
Nom de la pièce,axe-x-gauche.stl
Parent,addon trapez
Version,3.1
orientation,orientation.jpg
remplissage,17%
support,non
matière,PLA octo
couleur,gris anthracite
couplage avec une autre pièce (dépendance),axe-x-droite.stl
définition des surfaces fonctionnelles + dimensions,spec.jpg
statut d’invalidation des précédent (destruction du stock),non
,
Preprod,
cube 1,
cube 2,
cube 3,
cube 4,
cube 5,
